"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"Bangsar, Kuala Lumpur","RM",2500000,"Condominium (Corner)","Built-up  ",3380,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2500000,"Townhouse (EndLot)","Land area  ",3358,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5182000,"Condominium (Corner)","Built-up  ",3239,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3760000,"Condominium (Corner)","Built-up  ",3239,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.8e+07,"Bungalow","Land area  ",21000,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",5500000,"Bungalow","Built-up  ",6000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6900000,"Bungalow (Intermediate)","Land area  ",6846,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",4500000,"Bungalow (Corner)","Land area  ",7000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2100000,"Condominium (Corner)","Built-up  ",2928,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2500000,"2-sty Terrace/Link House","Land area  ",2125,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7500000,"Condominium (Corner)","Built-up  ",4300,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1e+07,"Condominium (Intermediate)","Built-up  ",8100,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8300000,"Condominium (Corner)","Built-up  ",5200,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3500000,"2-sty Terrace/Link House (Corner)","Land area  ",4825,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",9980000,"Condominium (Corner)","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6200000,"Condominium (Corner)","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7700000,"Condominium (Corner)","Built-up  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7600000,"Condominium (Corner)","Built-up  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3880000,"Condominium (Corner)","Built-up  ",3450,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",11900000,"Condominium (Corner)","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8200000,"Condominium (Corner)","Built-up  ",4771,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6800000,"Condominium (Corner)","Built-up  ",4771,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7380000,"Condominium (Corner)","Built-up  ",4945,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8e+06,"Condominium (Corner)","Built-up  ",4945,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7550000,"Condominium (Corner)","Built-up  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6500000,"Condominium (Corner)","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.1e+07,"Condominium (Corner)","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.5e+07,"Bungalow (Intermediate)","Land area  ",20000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3500000,"Semi-detached House (Intermediate)","Land area  ",3500,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",2800000,"Semi-detached House","Land area  ",2822,"sq. ft.","Unfurnished"
"Bangsar, Kuala Lumpur","RM",3600000,"Condominium (Corner)","Built-up  ",3600,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6500000,"Bungalow (Intermediate)","Land area  ",9000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6843000,"Condominium (Corner)","Land area  ",0,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7800000,"Semi-detached House (Triplex)","Land area  ",7416,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5750000,"Bungalow","Land area  ",6566,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3700000,"3-sty Terrace/Link House (Intermediate)","Land area  ",1920,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5e+06,"Bungalow (Corner)","Land area  ",4600,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.2e+07,"Bungalow","Land area  ",11500,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7200000,"Condominium","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4900000,"Bungalow","Land area  ",6580,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",15600000,"Bungalow (Intermediate)","Land area  ",20850,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7e+06,"Condominium (Corner)","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4380000,"Bungalow (Corner)","Land area  ",7000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",4200000,"Bungalow (Intermediate)","Land area  ",6646,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",10200000,"Condominium","Built-up  ",6913,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6750000,"Condominium","Built-up  ",4945,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",8500000,"Condominium","Built-up  ",4945,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",1.6e+07,"Bungalow (Intermediate)","Land area  ",9900,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",7500000,"Bungalow (Corner)","Land area  ",8000,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",6840000,"Condominium","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6800000,"Condominium","Built-up  ",4025,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5200000,"Bungalow (Intermediate)","Land area  ",6000,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",6500000,"Bungalow","Land area  ",5899,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",4850000,"Bungalow (Intermediate)","Land area  ",6058,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",7200000,"Bungalow","Land area  ",5400,"sq. ft.","Fully Furnished"
"Bangsar, Kuala Lumpur","RM",7300000,"Condominium (Corner)","Land area  ",5137,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",5980000,"Bungalow (Intermediate)","Land area  ",9000,"sq. ft.","Partly Furnished"
