"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"KLCC, Kuala Lumpur","RM",3600000,"Serviced Residence (Penthouse)","Built-up  ",3897,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2900000,"Condominium","Built-up  ",2809,"sq. ft.","Fully Furnished"
"Sentul, Kuala Lumpur","RM",670000,"Condominium","Built-up  ",1085,"sq. ft.","Partly Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1350000,"Condominium (Intermediate)","Built-up  ",1292,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1900000,"Condominium","Built-up  ",915,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1450000,"Serviced Residence (Corner)","Built-up  ",1090,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1300000,"Serviced Residence","Built-up  ",925,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",3600000,"Serviced Residence (Corner)","Built-up  ",3897,"sq. ft.","Partly Furnished"
"Taman Tun Dr Ismail, Kuala Lumpur","RM",5350000,"Bungalow","Land area  ",7200,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",1050000,"Condominium","Built-up  ",1772,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",1200000,"Condominium","Built-up  ",1930,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",9e+05,"Condominium","Built-up  ",1513,"sq. ft.","Partly Furnished"
"Damansara Heights, Kuala Lumpur","RM",2251800,"Serviced Residence","Built-up  ",1668,"sq. ft.","Partly Furnished"
"Bukit Jalil, Kuala Lumpur","RM",998000,"3-sty Terrace/Link House (EndLot)","Land area  ",1650,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1550000,"Condominium","Built-up  ",1496,"sq. ft.","Partly Furnished"
"Setapak, Kuala Lumpur","RM",780000,"Condominium (Corner)","Built-up  ",1368,"sq. ft.","Partly Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1380000,"Condominium (Intermediate)","Built-up  ",1292,"sq. ft.","Partly Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1798000,"3-sty Terrace/Link House (Intermediate)","Built-up  ",2200,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1268000,"Condominium (Corner)","Built-up  ",1619,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",2600000,"Condominium","Built-up  ",2809,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",4200000,"Serviced Residence (Corner)","Built-up  ",2195,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",3330000,"Serviced Residence (Corner)","Built-up  ",2789,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",2600000,"Serviced Residence (Intermediate)","Built-up  ",1184,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",1950000,"Serviced Residence (Intermediate)","Built-up  ",1076,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1400000,"Serviced Residence (Corner)","Built-up  ",1050,"sq. ft.","Fully Furnished"
"Damansara Heights, Kuala Lumpur","RM",6500000,"Bungalow","Land area  ",7200,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1800000,"Condominium","Built-up  ",1830,"sq. ft.","Partly Furnished"
"Bangsar, Kuala Lumpur","RM",3800000,"Bungalow (Corner)","Built-up  ",4067,"sq. ft.","Partly Furnished"
"Segambut, Kuala Lumpur","RM",635000,"Condominium (Corner)","Built-up  ",1643,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",5070000,"Serviced Residence (Corner)","Built-up  ",2142,"sq. ft.","Partly Furnished"
"KL City, Kuala Lumpur","RM",1207000,"Serviced Residence (Intermediate)","Built-up  ",685,"sq. ft.","Partly Furnished"
"KL City, Kuala Lumpur","RM",1177000,"Serviced Residence (Intermediate)","Built-up  ",717,"sq. ft.","Partly Furnished"
"Wangsa Maju, Kuala Lumpur","RM",7e+05,"Condominium","Built-up  ",1152,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",3785400,"Condominium (Duplex)","Built-up  ",3907,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1300000,"Condominium","Built-up  ",871,"sq. ft.","Fully Furnished"
"Sentul, Kuala Lumpur","RM",960000,"Condominium (Corner)","Built-up  ",1488,"sq. ft.","Unfurnished"
"KL City, Kuala Lumpur","RM",490000,"Condominium","Built-up  ",1065,"sq. ft.","Unfurnished"
"Mont Kiara, Kuala Lumpur","RM",4200000,"Condominium (Corner)","Built-up  ",3709,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1450000,"Serviced Residence (EndLot)","Built-up  ",1050,"sq. ft.","Fully Furnished"
"Desa ParkCity, Kuala Lumpur","RM",2380000,"Condominium (Corner)","Built-up  ",2454,"sq. ft.","Fully Furnished"
"Bukit Jalil, Kuala Lumpur","RM",1210000,"3-sty Terrace/Link House (Intermediate)","Built-up  ",3400,"sq. ft.","Partly Furnished"
"Taman Tun Dr Ismail, Kuala Lumpur","RM",4995000,"Bungalow (Intermediate)","Land area  ",8113,"sq. ft.","Partly Furnished"
